Year,Milk
09-01-2013,3.428
10-01-2013,3.462
11-01-2013,3.491
12-01-2013,3.501
01-01-2014,3.552
02-01-2014,3.561
03-01-2014,3.669
04-01-2014,3.687
05-01-2014,3.735
06-01-2014,3.626
07-01-2014,3.645
08-01-2014,3.673
09-01-2014,3.732
10-01-2014,3.766
11-01-2014,3.858
12-01-2014,3.820
01-01-2015,3.758
02-01-2015,3.496
03-01-2015,3.463
04-01-2015,3.397
05-01-2015,3.387
06-01-2015,3.366
07-01-2015,3.430
08-01-2015,3.389
09-01-2015,3.392
10-01-2015,3.338
11-01-2015,3.299
12-01-2015,3.310
01-01-2016,3.313
02-01-2016,3.230
03-01-2016,3.187
04-01-2016,3.155
05-01-2016,3.157
06-01-2016,3.115
07-01-2016,3.062
08-01-2016,3.141
09-01-2016,3.229
10-01-2016,3.292
11-01-2016,3.280
12-01-2016,3.290
01-01-2017,3.318
02-01-2017,3.300
03-01-2017,3.315
04-01-2017,3.259
05-01-2017,3.242
06-01-2017,3.213
07-01-2017,3.219
08-01-2017,3.168
09-01-2017,3.209
10-01-2017,3.158
11-01-2017,3.150
12-01-2017,3.155
01-01-2018,2.961
02-01-2018,2.923
03-01-2018,2.903
04-01-2018,2.924
05-01-2018,2.919
06-01-2018,2.877
07-01-2018,2.839
08-01-2018,2.871
09-01-2018,2.890
10-01-2018,2.913
11-01-2018,2.877
12-01-2018,2.853
01-01-2019,2.913
02-01-2019,2.900
03-01-2019,2.944
04-01-2019,2.980
05-01-2019,2.963
06-01-2019,3.054
07-01-2019,3.031
08-01-2019,3.045
09-01-2019,3.102
10-01-2019,3.119
11-01-2019,3.189
12-01-2019,3.188
01-01-2020,3.253
02-01-2020,3.196
03-01-2020,3.248
04-01-2020,3.267
05-01-2020,3.210
06-01-2020,3.198
07-01-2020,3.255
08-01-2020,3.406
09-01-2020,3.448
10-01-2020,3.380
11-01-2020,3.425
12-01-2020,3.535
01-01-2021,3.468
02-01-2021,3.368
03-01-2021,3.348
04-01-2021,3.447
05-01-2021,3.497
06-01-2021,3.557
07-01-2021,3.627
08-01-2021,3.560
09-01-2021,3.585
10-01-2021,3.663
11-01-2021,3.671
12-01-2021,3.743
01-01-2022,3.787
02-01-2022,3.875
03-01-2022,3.917
04-01-2022,4.012
05-01-2022,4.204
